Postcode,Speed cameras2014Number,Speed cameras2014Value ($),Speed cameras2015Number,Speed cameras2015Value ($),,,,,,,,
2469,78,14701,88,16942,,,,,,,,
2365,47,9262,44,9697,,,,,,,,
2681,12,2534,10,2393,,,,,,,,
2425,68,15122,64,14642,,,,,,,,
2757,115,34646,113,34534,,,,,,,,
2080,106,25358,123,36747,,,,,,,,
2840,33,7361,38,10065,,,,,,,,
2421,59,14100,79,18539,,,,,,,,
2538,83,17216,67,16542,,,,,,,,
2798,54,13326,83,16863,,,,,,,,
2786,78,17115,104,20930,,,,,,,,
2711,15,3902,21,6548,,,,,,,,
2824,47,10341,71,16014,,,,,,,,
2722,33,8330,30,6153,,,,,,,,
2352,55,12441,45,9778,,,,,,,,
2346,45,10869,46,9622,,,,,,,,
2825,34,7612,42,9822,,,,,,,,
2701,39,8250,36,7120,,,,,,,,
2665,22,4348,13,2589,,,,,,,,
2471,63,12827,58,11001,,,,,,,,
2549,45,9979,39,10924,,,,,,,,
2449,61,11253,58,15034,,,,,,,,
2713,22,4087,18,3885,,,,,,,,
2587,35,8450,31,8244,,,,,,,,
2473,78,16549,72,14232,,,,,,,,
2372,59,13101,69,23232,,,,,,,,
2472,55,10135,80,16897,,,,,,,,
2586,29,7125,41,10647,,,,,,,,
2439,45,9226,58,12649,,,,,,,,
2848,54,13160,68,15650,,,,,,,,
2297,86,20724,90,22714,,,,,,,,
2427,78,16005,55,11668,,,,,,,,
2849,49,9334,71,14081,,,,,,,,
2653,24,4878,34,8355,,,,,,,,
2675,13,3247,27,6011,,,,,,,,
2551,49,11228,42,12071,,,,,,,,
2488,70,13414,62,14559,,,,,,,,
2784,62,14647,76,15467,,,,,,,,
2844,30,5603,33,7057,,,,,,,,
2568,73,20155,62,15947,,,,,,,,
2669,13,2598,19,4946,,,,,,,,
2707,13,2429,8,1715,,,,,,,,
2823,30,5415,31,7738,,,,,,,,
2312,78,14587,51,9443,,,,,,,,
2706,17,4087,3,1010,,,,,,,,
2462,43,7884,49,8746,,,,,,,,
2869,35,8923,32,7591,,,,,,,,
2843,31,6383,35,7980,,,,,,,,
2714,12,2025,8,1100,,,,,,,,
2381,26,6581,26,5237,,,,,,,,
2644,27,7064,27,6503,,,,,,,,
2308,65,26301,66,21396,,,,,,,,
2655,15,2824,26,4798,,,,,,,,
2672,20,4902,17,3885,,,,,,,,
2382,9,2315,18,3226,,,,,,,,
2581,31,9322,30,7546,,,,,,,,
2347,22,5233,14,2880,,,,,,,,
2402,18,4223,31,6688,,,,,,,,
2628,33,7700,39,7513,,,,,,,,
2311,43,7281,27,6647,,,,,,,,
2643,6,1777,11,2348,,,,,,,,
2466,52,8971,52,8807,,,,,,,,
2793,28,6188,51,10624,,,,,,,,
2341,16,3139,28,5859,,,,,,,,
2731,14,2876,19,5539,,,,,,,,
2656,23,5557,20,4391,,,,,,,,
2839,13,3031,15,5101,,,,,,,,
2729,24,6759,20,5084,,,,,,,,
2660,11,2226,10,2619,,,,,,,,
2658,12,2495,8,1752,,,,,,,,
2865,19,3566,38,6601,,,,,,,,
2864,15,2867,38,8472,,,,,,,,
2632,19,6148,30,8923,,,,,,,,
2404,22,5236,18,4287,,,,,,,,
2730,25,5822,20,5021,,,,,,,,
2648,3,917,2,508,,,,,,,,
2555,43,11491,33,8341,,,,,,,,
2703,9,1807,12,2395,,,,,,,,
2545,29,5934,27,8407,,,,,,,,
2806,13,2260,23,5133,,,,,,,,
2828,18,3659,18,6087,,,,,,,,
2395,9,2315,17,3771,,,,,,,,
2712,7,969,3,478,,,,,,,,
2702,8,1147,6,1114,,,,,,,,
2716,6,1868,7,1084,,,,,,,,
2867,19,5274,26,5536,,,,,,,,
2875,11,1761,24,4955,,,,,,,,
2396,14,3214,9,2027,,,,,,,,
2868,16,5699,14,4861,,,,,,,,
2842,12,3285,19,4136,,,,,,,,
2717,0,0,1,112,,,,,,,,
2353,19,4873,12,2696,,,,,,,,
2345,13,3016,13,2948,,,,,,,,
2715,7,1146,5,1078,,,,,,,,
2563,25,7791,22,6634,,,,,,,,
2369,7,1103,15,3594,,,,,,,,
2738,7,2849,6,951,,,,,,,,
2371,18,4131,23,4683,,,,,,,,
2647,2,215,10,1937,,,,,,,,
2359,10,2112,10,1716,,,,,,,,
2344,18,3561,7,2044,,,,,,,,
2833,9,2460,10,2375,,,,,,,,
2403,12,2027,6,1194,,,,,,,,
2807,5,1210,8,1963,,,,,,,,
2805,8,1462,12,2322,,,,,,,,
2668,10,2215,7,1459,,,,,,,,
2397,10,2741,8,1770,,,,,,,,
2659,5,684,2,696,,,,,,,,
2792,10,3308,19,3744,,,,,,,,
2846,16,4442,16,2999,,,,,,,,
2623,6,2898,10,2504,,,,,,,,
2409,6,654,6,1332,,,,,,,,
2739,6,1237,3,643,,,,,,,,
2426,14,2300,13,3195,,,,,,,,
2791,9,1990,16,3107,,,,,,,,
2406,10,1510,5,690,,,,,,,,
2631,12,2702,10,2866,,,,,,,,
2797,9,1747,9,1965,,,,,,,,
2386,4,1332,6,1596,,,,,,,,
2818,7,1344,11,2286,,,,,,,,
2876,5,757,8,2061,,,,,,,,
2584,5,1286,5,1056,,,,,,,,
2342,5,986,8,1483,,,,,,,,
2379,1,319,11,2441,,,,,,,,
2490,24,5260,13,2096,,,,,,,,
2399,5,1135,10,1792,,,,,,,,
2355,10,3405,5,1188,,,,,,,,
2737,5,1739,2,534,,,,,,,,
2415,9,1785,12,3345,,,,,,,,
2588,10,2498,3,867,,,,,,,,
2874,5,1595,5,1004,,,,,,,,
2405,0,0,8,2108,,,,,,,,
2361,8,2399,10,1540,,,,,,,,
2625,13,4943,11,2765,,,,,,,,
2873,4,799,6,1903,,,,,,,,
2836,8,1449,1,112,,,,,,,,
2645,4,578,1,425,,,,,,,,
2803,8,1742,11,2590,,,,,,,,
2727,8,1746,9,2504,,,,,,,,
2809,7,2133,7,2094,,,,,,,,
2732,1,177,3,478,,,,,,,,
2465,8,1963,13,3154,,,,,,,,
2585,6,1379,9,2131,,,,,,,,
2424,10,1424,13,2124,,,,,,,,
2401,4,3333,2,366,,,,,,,,
2879,2,587,3,950,,,,,,,,
2726,8,3413,4,877,,,,,,,,
2626,3,397,2,295,,,,,,,,
2387,5,842,2,440,,,,,,,,
2733,1,106,5,1012,,,,,,,,
2725,1,106,5,1640,,,,,,,,
2476,7,1535,2,545,,,,,,,,
2878,5,826,0,0,,,,,,,,
2721,1,248,7,781,,,,,,,,
2356,3,929,3,952,,,,,,,,
2408,1,248,3,481,,,,,,,,
2633,3,2438,6,1891,,,,,,,,
2410,5,894,2,221,,,,,,,,
2838,1,109,1,260,,,,,,,,
2475,0,0,0,0,,,,,,,,
2808,0,0,6,817,,,,,,,,
2898,4,572,5,776,,,,,,,,
2736,2,514,1,254,,,,,,,,
2411,3,605,1,254,,,,,,,,
2899,1,405,2,524,,,,,,,,
2735,0,0,0,0,,,,,,,,
2624,2,742,2,537,,,,,,,,
2734,0,0,0,0,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
